MomID,Year,Dietary energy density,Diet diversity,Dominant prey species,Mass change
9931,2011,5.849281,0.178817946,Redfish,74.5
59,1999,4.88094,0.180569404,AtlanticCod,53.5
5846,2012,6.16088,0.216518648,NorthernSandlance,43.5
619,2009,5.819446,0.230168999,Redfish,12
3271,2001,5.862905,0.238041925,NorthernSandlance,50
10689,2013,5.928218,0.246178311,Redfish,88
6177,2015,5.906137,0.250347258,Redfish,44.5
3074,2014,5.61666,0.25176356,Redfish,31
3735,1998,5.238546,0.253089094,AtlanticCod,40
93,2010,5.940795,0.255812102,NorthernSandlance,3
137,2012,5.93557,0.262501826,Redfish,25
9933,2011,5.890094,0.26304222,Redfish,-4.5
829,2010,5.923239,0.27052825,NorthernSandlance,45
146,2013,5.689242,0.279786139,NorthernSandlance,35
2718,2012,5.905916,0.284050995,Redfish,58
8389,2015,5.722858,0.298950689,NorthernSandlance,82.5
10334,2012,5.96223,0.299966827,Redfish,22
9929,2011,5.691755,0.304781832,Redfish,18.5
5681,2001,5.72128,0.305794017,NorthernSandlance,39.5
9021,2009,5.867972,0.306470465,Redfish,0
9418,2010,5.951712,0.3122836,Capelin,-40.5
2999,2012,6.029578,0.316542375,NorthernSandlance,65
2690,2002,5.8265,0.317124574,NorthernSandlance,21.5
829,2015,5.898651,0.321388394,NorthernSandlance,77.4
9939,2011,5.786612,0.332741541,Redfish,45
4269,2010,5.95092,0.33388804,NorthernSandlance,7
142,2013,5.68215,0.336226217,Redfish,12
5108,2014,5.990709,0.336638218,NorthernSandlance,56.4
11977,2015,5.351956,0.339065733,Redfish,39.9
3271,2011,5.804936,0.343971298,NorthernSandlance,42
10690,2013,5.671971,0.346862696,NorthernSandlance,32.5
125,2000,5.356151,0.347083709,AtlanticCod,54.5
5108,2000,5.750621,0.348326058,Redfish,-9
6630,2012,5.453544,0.350715693,Redfish,61
3736,2012,5.70028,0.351798472,NorthernSandlance,34
7366,2005,5.482593,0.352813233,Redfish,49.5
6122,2002,5.894663,0.353721185,Redfish,20.5
6120,2012,6.154553,0.355965124,NorthernSandlance,11
146,1998,5.207342,0.358416625,AtlanticCod,14
9019,2009,5.598137,0.366791022,Redfish,-10.5
6118,2002,5.899456,0.368314301,Redfish,22
9934,2011,5.767756,0.369203359,Redfish,20.5
9928,2011,5.891207,0.373940774,Pollock,-6
4269,2013,5.617533,0.375535083,NorthernSandlance,29
30,2013,5.766026,0.378703425,NorthernSandlance,-6
24,1996,5.6774,0.380429034,Redfish,20.5
9932,2011,5.62468,0.382129467,Redfish,45.5
6122,2011,5.843373,0.382749533,NorthernSandlance,19.5
9019,2013,5.811442,0.38294143,NorthernSandlance,15
10333,2012,5.710691,0.395132072,NorthernSandlance,39
9018,2009,5.752321,0.396722737,Capelin,-8.5
3616,2013,5.695705,0.397807463,Redfish,31
2701,2009,5.447159,0.40049738,Redfish,0
4269,1999,5.248939,0.402037981,AtlanticCod,27
5683,2001,5.338455,0.406273479,AtlanticCod,55.5
9410,2010,5.892238,0.406304061,NorthernSandlance,-5
2734,2010,5.978792,0.417031261,NorthernSandlance,4
9020,2009,5.80106,0.421403905,Redfish,-8.5
45,2014,5.902081,0.426328248,Redfish,31.8
6116,2002,5.726906,0.433872694,NorthernSandlance,12
78,2011,5.696741,0.435317215,Redfish,17.5
69,2015,5.585802,0.436473622,Redfish,60.9
9930,2011,5.754465,0.438598691,Redfish,15
7384,2005,5.780942,0.440362116,NorthernSandlance,77
102,2013,5.662094,0.442752914,NorthernSandlance,9
3616,1998,5.563396,0.443327492,Redfish,32
109,2013,5.636425,0.444608819,Pollock,-28
24,2001,5.533903,0.455667859,Pollock,2.5
4266,2013,5.690635,0.476710751,NorthernSandlance,23.5
9420,2010,5.879424,0.495723042,NorthernSandlance,-3.5
10688,2013,5.568381,0.500514174,Pollock,16.5
6165,2010,5.766226,0.51447,Pollock,-23
10687,2013,5.554911,0.515682252,NorthernSandlance,47
5485,2014,6.517439,0.529013657,Capelin,-12.5
7364,2005,5.594992,0.578185219,Redfish,74.5